Japanese,English
東本宮,Higashihongu
頼通,Yorimichi
江口の戦い,Battle of Eguchi
横蔵寺,Yokokura-ji Temple
頭中将,Tono Chujo
鷹司房子,Fusako Takatsukasa
西小路通,Nishikoji-dori Street
遊学,"studying abroad, travelling to study, traveling to study"
富貴寺大堂（阿弥陀堂）,Fukidera Temple Big Hall (Amida Hall)
委託販売所,a consignment store
朱印寺領1石,"a temple estate authorized by shorgunate one-koku, koku is a unit of volume and 1-koku of rice grain is 180.39liter, one-koku of lamber is 0.2cubic meter"
物部村,Monobe Village
日本太鼓協会,Japan Taiko Association
雨声会,Usei-kai
媓子,Koshi
饗応,Kyoo (banquet)
アルテミス,Artemis
金剛巌,Iwao KONGO
方寸庵,Hosunan
水運,transportation by water
義浄,Gijo
源親治（宇野親治）,MINAMOTO no Chikaharu (Chikaharu UNO)
小笠原清宗,Kiyomune OGASAWARA
貞和,Jowa era
越水城主,castellan of Koshimizu-jo Castle
書院造,Shoin-zukuri style
東屋,azuma-ya
漆工芸,lacquer craftworks
初十日祭,Hatsu Toka matsuri (Festival of January 10th)
犬養毅,Tsuyoshi INUKAI
昭子・賀子,"Akiko, Yoshiko"
産褥,is in childbed
祈願依頼,request for prayer
田原本IC,Tawaramoto Interchange
安倍宗任,Muneto ABE
菊花章頸飾,Collar of the Chrysanthemum
遠江国諏訪原城（元は諏訪原城、静岡県島田市）,Suwahara-jo Castle of Totomi Province
亀岡市役所,Kameoka City Hall
北宋時代,the northern song dynasty Period
伊勢物語,"""Tales of Ise"""
東塔常行三昧堂,Toto Jogyozanmai-do
臨済正宗,Rinzaisei sect
ヤウ,yau
留守内閣,Rusu-naikaku (cabinet while heads of government are away)
京都府指定・登録文化財,the registered cultural property designated by Kyoto Prefecture
学館院,Gakkanin
織物繁栄・和装の神,the god for prosperity of textile and the Japanese style of dress
室中の「竹林七賢図」,"inner room ""the Seven Sages-zu"""
宮内本町,Miyauchi Honcho
洛北,Rakuhoku
屠殺,abatage
九体阿弥陀仏,nine statues of Amida (Amitabha)
三條實美,Sanetomi SANJO
五重塔の球形の水輪,the spherical second story of five-story pagoda 
今熊野,Imakumano
五大祭,Godai-Matsuri Festival
友誼,affection as an acquaintance
石田氏,Ishida clan
京都ロフト,Kyoto Loft
岩美駅,Iwami Station
旧日光院客殿障壁画,wall painting at the former reception hall of Nikkoin Temple
通憲,Michinori
蓮花図,Renka zu
日本城タクシー,Nihonjo Taxi
硯箱,Suzuri-bako (case containing ink brush and ink stone)
京都上桂郵便局,Kyoto Kamikatsura post office
石田村,Ishida-mura
開眼供養,hold a ceremony to consecrate a newly made Buddhist amage
勝手神社,Katte-jinja Shrine
広智,Kochi
真筆,genuine works
新日吉社（いまひえしゃ）,Ima Hie-sha Shrine
中之島,Nakanoshima
特急「おき (列車)」,"Limited Express ""(Super) Oki"""
本興寺勧学院,Honko-ji Temple Kangaku-in
下間蓮崇,Renso SHIMOTSUMA
前田家,Maeda family
御所田北通,Goshodenkita-dori Street
イギリス帝国,British Empire
高御座,Takamikura
猿田彦,Sarudabiko (Shinto god)
ヴァリニャーニ,Valignano
西洞院大路,Nishinotoin-oji Street
海乃景,umi no kei (an ocean view)
武茂系図,Mumo family record
木造十二神将立像,wooden-Juni Shinsho-ryuzo
三好長慶,Nagayoshi MIYOSHI
明治末期,the end of Meiji period
聖護院胡瓜（キュウリ）,shogoin-kyuri (cucumber)
竹の里小学校前,Takenosato Shogakko-mae
鍛冶町,Kaji-machi
中世,medieval period
方丈(本堂),"Hojo (Hondo, a main hall)"
素庵,Soan
日野・セレガ,Hino S'elega
宇治町,Uji-cho
成相寺,Nariai-ji Temple
論考集,a collection of argument and discussion
キムチ,kimchi
西条武徳殿,Saijo Butokuden (Dojo)
女性囃子方,female players in Japanese orchestra
竹取り物語,Taketori Monogatari (The Tale of the Bamboo Cutter)
江戸幕府の御用絵師,an official painter to the shogunate during the Edo period
白描絵料紙金光明経（京都国立博物館）,Hakubyoeryoshi Konkomyoo kyo (Kyoto National Museum)
絹本著色熊野曼荼羅図,Kenpon-Chashoku-Kumano-Mandara-zu
煩悩即菩提,the idea that earthly desires are a pure aspiration to enlightenment
北白川宮能久親王,Imperial Prince Kitashirakawanomiya Yoshihisa
トロッコ嵐山駅,Arashiyama Torokko Station
為教,Tamenori
白光神,Hakko-shin
南都（奈良）,the City of Nara (Nara)
金蔵主,Konzosu
飛騨高山,Hida Takayama
装束,Shozoku 
松伯美術館,Shohaku Art Museum
毛利幸松丸,Komatsumaru MORI
睡蓮,Water Lilies
玄以通,Gen-i-dori Street
探幽,Tanyu
国立国会図書館分類表 (NDLC),National Diet Library Classification (NDLC)
西南記伝,Seinan Kiden book
鳥狩,Togari
基王,Motoio/Prince Motoi
臨淄,Linzi
池殿,Ikedono
大和歌,Yamatouta (Waka)
ガヤー城,Gaya Castle
急行「だいせん (列車)」,"Express ""Daisen"""
貞明,Sadaakira
慕帰絵詞,Boki-ekotoba
景戒,Kyokai/Keikai
参勤交代,Sankinkotai
伊福部昭,Akira IFUKUBE
室津太鼓御輿,Murotsu taiko-mikoshi
尼子勝久,Katsuhisa AMAGO
土御門晴雄,Haruo TSUCHIMIKADO 
一条朝,the court of Emperor Ichijo
野崎駅 (大阪府),Nozaki Station (Osaka Prefecture)
松永久通,Hisamichi MATSUNAGA
説法印,Seppo-in 
左衛門督,Saemon no kami 
川原大祓,Kawaraoharai
五木の子守歌,Itsuki no komoriuta Song
蒙古襲来絵詞,Moko Shurai Ekotoba
福井銀行,"The Fukui Bank,Ltd."
ニューロンドン,New London
皇太子昭仁親王,Imperial Prince Teruhito
聖遺物,sacred relic
崖庭,gakeniwa (a garden on a cliff)
青年面,Seinenmen (man's mask)
落慶,the celebration of the construction of a temple
常禅寺,the Jozen-ji Temple
グルテン生成,generated gluten
屏風の料,material for folding screen
建春門院女房,Kenshunmon-in Nyobo (a court lady served to Kenshunmon-in)
熈仁,Hirohito
阿古屎,Akokuso
実行,Saneyuki
船越御所,Funakoshi-gosho
斯波高経,Takatsune SHIBA
星峰,"Seiryo, the place where the Sanryo Dragon goes"
旧金閣,old Kinkaku
宝山大剰院,Juhozan Daijoin
欽明台西,Kinmeidai-nishi
砂金,sakin
大宮能売大神,Oomiyanomeno Ookami
山城国宇治,"Uji, Yamashiro no Kuni"
コショウ,pepper
詠草,eiso (handwriting of the composed waka)
大炊,Oii
竜門瀑,Ryumon-baku (Dragon-gate water fall)
日本寺大仏,Nihon-ji Great Buddha
サラマンカ大学,Universidad de Salamanca
稲葉家,the Inaba family
丹波国諸庄郷保総田数帳目録,a catalogue for Tango-no-kuni Shoshogo ho Sodensucho
宝物殿,a treasure hall
騎馬民族,equestrian people
大物崩れ,Daimotsu-kuzure (Battle of Daimotsu)
津田頼母,Tanomo TSUDA
川北線,Kawakita Route
京大和（大和屋林泉）,Kyoyamato (Yamatoya-rinsen)
伽婢子,Otogiboko
太閤検地奉行,Taiko-Kenchi survey magistrate
越後府,Echigo Prefecture
上人,Saint
御饌物,"Mike, Mikemotsu"
建武政府,Kenmu Government
修祓,Shubatsu
高松八品講,Takamatsu Happon association
光悦垣,Koetsu-gaki
大手門,Otte-mon Gate (Main Gate)
落慶法要,rakkei hoyo
賀茂山,Mt. Kamo 
一品宮歌合,Ippon no Miya Uta-awase
宗教儀礼,religious courtesy
勘解由使,Kageyushi (Board of Discharge Examiners)
天桂,Tenkei
不動明王の結界,barrier by Fudo-myoo
高峰顕日,Kennichi KOHO
井出,Ide
根来山（ねごろさん）大伝法院,Negorosan Daidenpoin
俵屋,Tawaraya Ryokan
六条有忠,Aritada ROKUJO
金地院庭園,Konchiin-teien Garden
三谷口,Mitaniguchi
皺紋状の凹凸,concave and convex wrinkle patterns
常吉村,Tsuneyoshi-mura
十齋堂,Jissai-do hall
大八洲,Oyashima
重香合,Ju-kogo (three-drawer tool box)
実資,Sanesuke
一宮町,Ichinomiya Town
京都少年鑑別所,Kyoto Juvenile Classification Center
大久保氏,Okubo clan
正一位,Shoichii (Senior First Rank)
祭具,a ceremonial implement
嫡子大内義興,"Yoshioki OUCHI, his legitimate son"
NCC宗教研究所,NCC Center for the Study of Japanese Religions
願阿弥,Ganami
酒井兵庫,Hyogo SAKAI
宇治橋萬度麻奉下式,Ujibashimandonusa Hogeshiki
岡野井玄貞,Gentei OKANOI
栄達,advancement in social status
東舞鶴地区,Higashi-maizuru area
是害坊天狗,Zegaibo tengu
中納言局,Chunagon no tsubone
一条政房,Masafusa ICHIJO
八代郡,Yatsushiro County
玉川村,Tamagawa-mura
小野好古,ONO no Yoshifuru
道統,to pass Confucian (teaching) down
粟屋元隆,Mototaka AWAYA
注大般涅槃経,Chudaihatsu nehangyo-sutra
属星,zokusho
内藤昌豊,Masatoyo Naito
稲畑和楽庵,Inabata waraku an
正平の一統,Shohei no itto
興戸駅,Kodo Station
丹波経略,a conquest of Tanba
スペイン櫛,Spanish comb
雉,Japanese pheasant
杉屋町,Sugiyacho
千本釈迦堂,Senbon Shaka-do Temple
楽茶碗,Rakujawan
狸谷山不動院,Tanukidanisan Fudo-in Temple
八幡信仰,"the Hachiman shinko, believing the God of War (Hachiman-god)"
旧津金学校,Tsugane-gakko School
竹石白鶴図,"bamboo, stone and crane-zu"
大芝,Oshiba
兵庫頭,Hyogo no kami
大江坂,Oe no saka
社会事業,social work
右京権大夫,Ukyo Gon no daibu (Provisional Master of the Western Capital Offices)
武家諸法度,Buke shohatto
宇治木幡,Uji Kohata
加茂大橋,Kamo-ohashi Bridge
的中主義,Tekichu-shugi (supremacist of hitting the target)
律令国家,the Japanese nation under the ritsuryo codes
水無瀬氏成,Ujinari MINASE
藤原成頼,FUJIWARA no Nariyori
ストゥーパ,stupa
今川正彦,Masahiko IMAGAWA
箱根登山鉄道,Hakone Tozan Railway
呉服町,Gofuku-machi
安日彦(アビ彦),Abi-hiko
総合仏教,sogo bukkyo 
四条,Shijo
K特急,K-limited express
至宝,great treasures
湯木美術館,Yuki Art Museum
編年,chronology
底哩経,Chiri-kyo Sutra
中国南宋画,Southern Song China painting
名田庄村,Natasho Village
紺紙墨書,Ink on dark blue paper
禅文化,Zen culture
真宗大谷派本山真宗本廟（東本願寺）,Shinshu sect Otani school Honzan Shinshu Honbyo (Higashi Hongan-ji Temple)
都林泉名勝図会,Miyako Rinsen Meishouzu-e
背（せうと）,brother
新修鷹経,Shinshu-yokyo (technique book for falconry)
長岡岡成,NAGAOKA no Okanari
剣客集団,a group of expert swordsmen
大燈国師宗峰妙超（しゅうほうみょうちょう）,Daito-kokushi Shuho Myocho
禅仁,Zennin
首の座,executioner's block
新西国三十三箇所,new Saigoku (western provincial) 33 Sacred Sites pilgrimage
鹿毛,fawn colour
くるっとBUS,Kurutto Bus
飛鳥井雅親,Masachika ASUKAI
後鳥羽院,Gotoba-in
上田秋成,Akinari UEDA
伊勢神宮祭主,Lord Custodian [Chief Priest] of the Great Shrine of Ise
切金文様,Kiriganemonyo
関東地域,"Kanto area, Kanto region"
権大僧都,gon daisozu (Junior prelate) 
明神,myojin
三毒,the three kleshas that poison the heart of man
京都稲荷,Kyoto Inari
山岳修行,mountain ascetic practices
義範,Gihan
外地,foreign parts
木原敏江,Toshie KIHARA
黄檗宗万福寺,Manpuku-ji Temple of Obaku sect
乗如,Jonyo
山川郷,Yamagawa-go
六代祖師像,Rokudai Soshi zo
武田元明,Motoaki TAKEDA
繰り型,"a molding, a kurigata"
一揆,uprising
尭孝,Gyoko
火の鳥,HinoTori (Phoenix)
立川流,Tachikawa-ryū
京都予防医学センター,Foundation Kyoto Preventive Medical Center
紙の性質,a property as paper
京北地域,Keihoku area
酒解神社,Sakatoke-jinja Shrine
大仏殿西回廊外側の軒下,under the eaves of outside of the west cloister of the Great Buddha Hall
東海庵,Tokai-an Temple
東京喰違坂,Kuichigaizaka in Tokyo
二条大宮,Nijo no Omiya
梶井基次郎,Motojiro KAJII
殿上,the court
園田駅,Sonoda Station
為家,Tameie
天王祭,Tenno-sai Festival
山陰自動車道,Sanin Jidoshado Expressway
狩野宗茂,Munemochi KANO
玄関,entrance
モービル石油,Mobil Sekiyu K.K.
後妻,second wife
芸能,public entertainment
久久年神（くくとし）,Kukutoshi no kami
髪留め,hairpin
金集百成,Momonari KANATSUME
影武者,Kagemusha(body double)
宮家,Miyake (house of an imperial prince)
千容子,Masako SEN
鑷（けぬき,tweezers
Zパンタ (グラフ）,Z-shaped pantograph
気比神宮,Hike Jingu Shrine
鳥羽,Toba
松平元康,Motoyasu MATSUDAIRA
信貴山成福院,"Jofuku-in, Mount Shigi"
取手,Toride
漢詩文,Chinese-style poem
秘曲,secret music
酒饅頭,sake liquor bun stuffed with adzuki-bean paste)
舎利,Shari (Buddha's relics)
理工学部,Faculty of Science and Engineering
滝野流,Takino-ryu school
陸奥宗光,Munemitsu MUTSU
醒ヶ井通,Samegai-dori Street
知多郡,Chita County
画帖,"gajo, an album of paintings"
一条天皇,Emperor Ichijo
浅井,ASAI
種智院大学,Shuchiin University
勝俊,Katsutoshi
ペルトン水車,Pelton wheel
岐陽方秀,Giyo [Kiyo] Hoshu
上杉憲藤,Norifuji UESUGI
ポートアイランド,Port Island
栗東市,Ritto City
狩野芳崖,Hogai KANO
至京都駅,bound for Kyoto Station
渡来人,toraijin 
矢番い,yatsugai; fixing an arrow (to a bow)
宮内庁蔵,stock of Imperial Household Ministry
藤原氏,the Fujiwara clan
時子,Tokiko
伝源頼朝像,"MINAMOTO no Yoritomo portrait, unconfirmed"
景泰,Kageyasu
東寺,To-ji Temple
鈴鹿山,Mt. Suzuka
博多織同業組合,Hakata ori trade organization
無能勝明王,Muno Shomyoo
ウメ,Japanese plum
上野城,Ueno-jo Castle
俗楽,worldly music
木村寿徳,Jutoku KIMURA
肥後,Higo
清巌正徹,Shotetsu Seigan
上杉清子,Kiyoko UESUGI
日本ハムグループ,Nippon Ham Group
玄猷,Gennyu
長子相続制,primogeniture
五智院但馬,GOCHIIN no Tajima
四条河原町（河原町通）,Shijo Kawaramachi (Kawaramachi-dori Street)
雷の神である天神（火雷天神）,"Tenjin, a child of thunder (Karai Tenjin)"
教育委員会,Education Board
白旗城,Shirahata-jo Castle
宮津車庫,Miyazu depot
旧新田郡尾島町,"former Ojimamachi, Nitta County"
ガイナックス,GAINAX
龍田大社,Tatsuta Taisha Shrine
頂相彫刻,sculpture of chinso (a portrait)
勘解由小路資忠,Suketada KADENOKOJI
最愛之息,much-loved son
祭壇,an altar
城井氏,the Ki clan
美々津の戦い,the Battle of Mimitsu
久我通親,Michichika KOGA
菅原清公,SUGAWARA no Kiyokimi
嵐電ブラッシュ・アップ プロジェクト,Randen Brush-up Project
一木喜徳郎,Kitokuro ICHIKI
光台院,Kodai-in Temple
文部大臣,Minister of Education
藤井充行,Ategai FUJII
重国,Shigekuni
南京都高等学校,Minami-Kyoto High School
梟首,exposure of a severed head
雑格,Others
台輪（だいりん）鳥居,dairin torii
蜻蛉,kagero
モンゴル高原,Mongolian plateau
宇都宮豊房,Toyofusa UTSUNOMIYA
青鬼,Blue ogre
長良川,Nagara-gawa River
西安電子科技大学,Xidian University
鏡物,"Kagamimono (Generic name of history book with ""Kagami"" in its title)"
源通宗,MINAMOTO no Michimune
特殊信号発光機,obstruction warning indicator
販売の独占権,an exclusive right to sell
相続披露,announcement of succession
貞邦,Sadakuni
大酒,heavy drinking
大本,Oomoto
藍染,"Aizen, indigo"
太平記,Taiheiki 
宮大工,"carpenter specializing in temple, shine, etc. construction"
伊雑宮,Izawanomiya
野間氏,NOMA
天王,Tenno
庭園観,a view for gardens
桃園天皇,Emperor Momozono
多景島,Takeshima Island
ソンツェン・ガンポ王,King Songtsan Gambo
合理的な構造,bold and bighearted design
平野国臣,Kuniomi HIRANO
大飯郡,Oi-gun
行道獅子,Gyodo Shishi (lions to guide the way)
城陽駅,Joyo Station
博多風（長浜風）,Hakata style (Nagahama style)
亀岡市立病院,Kameoka Municipal Hospital
玉姫大明神,Tamahime Daimyojin
福塩線,Fukuen Line
鏡味時二郎,Tokijiro KAGAMI
宮本武蔵,Musashi MIYAMOTO
一品経懐紙,Ippon Kyo kaishi
懐仁親王,Imperial Prince Yasuhito
再現,reenactment
高尾さがの,Sagano TAKAO
幸子内親王,Imperial Princess Yukiko
千姫,Senhime
演奏形態,the style of performance
上総広常,Hirotsune KAZUSA
年中行事障子,"Nenjugyoji-no-shoji (a standing screen, with painting of the regular annual ceremonies at Imperial Court, placed on the low wooden floor outside the upper door of Denjo-no-ma (the courtier's room) of the Seiryoden (the main building of Kyoto Imperi"
ラチス式桁 (ラチス橋),lattice bridge
里,Neighborhoods
承久合戦,Jokyu-no-kassen
安曇川町,"Adogawa cho, Adogawa town"
太政官建白書,the Petition of Grand Council of state
西本願寺飛雲閣,Hiunkaku at Nishi-Honganji Temple
葛井親王,Imperial Prince Kadoi
無尽功徳蔵廻向,Transference of the store of boundless virtues
九畳,nine-jo (one-jo means a space of one Japanese tatami mat)
薄雲,Usugumo
千本線,Sembon-sen
太政官,Council of State
島津忠長,Tadanaga SHIMAZU
三途,Sanzu
武蔵武芝,MUSASHI no Takeshiba
薩土盟約,Satsudo Meiyaku (the alliance with Satsuma and Tosa)
大方廣仏華厳経,Daihokobutsu Kegon-kyo Sutra
八大菩薩,Eight major Bodhisattvas
東南隅第一間,the first bay of the south-east corner
鶴見大学文学部日本文学科研究室,"Japanese literature department lab, school of literature, Tsurumi University"
巧如,Gyonyo
池坊中央研修学院長,President of Ikenobo Center Institute
応安,Oan era
郡司,Gunji (local magistrates)
御料鵜飼,Imperial cormorant fishing
一遍,Ippen
アシナヅチ,Ashinazuchi
マルクス経済学者,Marxist Economist
日本橋駅,Nihonbashi Station
摂化,Sekke
箱棟,Hakomune
宇佐八幡神,Usahachiman-shin
式内大社,Shikinai Taisha
才ノ神の藤,Sai-no-kami no Fuji (Japanese wisteria)
禍津日神,Magatsuhi no kami (evil gods)
宮太鼓,mya-daiko
おしゃく,Oshaku (person pouring alcohol for guests or customers)
蘭陵王,Ranryo-o
佐那具駅,Sanagu Station
民宿,Minshuku (private home that runs inn providing room and board)
中島,Nakajima
征夷副使,Seii fukushi
三浦時高,Tokitaka MIURA
源義俊,MINAMOTO no Yoshitoshi
組子の障子の格子,the lattice of shoji used as the framework
三之公,Sannoko
江戸城二の丸,Ninomaru (outer citadel) of Edo Castle
北丹鉄道,Hokutan Railway
尼子義久,Yoshihisa AMAGO
谷春男,Haruo TANI
紙祖の発掘,Searching for the originator of paper-making
文殊五尊像,the 'Monju quintet' Monju gosonzo
雑事記,Zatsuji-ki
花山院親忠,chikatada KAZANIN
嵯峨野有栖川町,Sagano-arisugawa-cho
グリーンマックス,Greenmax Corporation
飛騨地方,Hida region
春日山,Mt. Kasuga
仏師系譜,family record of Busshi
少尉,shojo (junior lieutenant)
奥山弘平,Hirohira OKUYAMA
萩原朔太郎,Sakutaro HAGIWARA
僭称,pretension
歓喜団（かんぎだん）,Kangi-dan
肴,sakana (appetizers taken with alcoholic drinks)
紙職元祖碑,the monument to the originator of paper-makers
後継者争い,race for successor; succession race
八百宮,Yaonomiya
浜坂町,Hamasaka-cho
揚げ饅頭,deep-fried bun with adzuki-bean paste)
小左近茂成,Shigenari Kosakon
白庭トンネル,Shiraniwa Tunnel
橘嘉智子,TACHIBANA no Kachiko
阪急北野線,Hankyu Kitano Line
横笛,Oteki (transverse flute)
側近筆頭,top of asides
隠退所,a place for seclusion
紙本淡彩釈迦三尊像,"Shakyamuni (Buddha) and two other Buddhas, wash drawing, paper book"
武漢大学,Wuhan University
後涼殿,Koryo-den
絹本着色,color painting on silk
中根金作（なかねきんさく）,Kinsaku NAKANE
大成者,a person who achieved perfection
王化,influenced virtue
異国日記御記録雑記,Ikoku nikki Gokiroku zakki
憲法調査会,Constitution [Constitutional] Research Council/Research Commission on the Constitution
宝林寺,Horin-ji Temple
正式名称,a formal name
手拭,Tenugui towel
極楽寺,Gokuraku-ji Temple
鹿児島県史料・忠義公史料,Tadayoshi's historical data (historical data of Kagoshima Prefecture)
法住寺,Hoju-ji Temple
旧日本銀行京都支店,former Bank of Japan Kyoto Branch
短期大学,"Kyoto Koka Women's University, Junior College"
弓射神事,Yumiire shrine ritual
川島テキスタイルスクール,Kawashima Textile School
身代不動尊大祭,Minoshiro Fudoson Taisai
尾去沢銅山,Osarizawa Copper Mine
大草殿より相伝之聞書,the record of what Mr. Ogusa said as transmission
丸岡城,Maruoka-jo Castle
佐渡,Sado
久我敦通,Atsumichi KUGA
大一番,decisive game
第16師団司令部,headquarters of Dai Juroku Shidan (16th division)
平信兼,TAIRA no Nobukane
茶屋町駅,Chayamachi Station
秦氏本系帳,Hata-shi Honkei-cho
兼香,Kaneka
京都府中小企業会館,Kyoto Chusho-kigho Kaikan (Kyoto Small-and-medium-sized enterprise Hall)
金光,Kanemitsu
片桐景重,Kageshige KATAGIRI
足利義昭軍,Yoshiaki Ashikaga's army
本四備讃線（瀬戸大橋線）,Honshi-Bisan Line (Seto-Ohashi Line)
根津美術館,Nezu Museum
壷井八幡宮,Tsuboi Hachiman-gu Shrine
上席,precedence
遊郭,yukaku
小坊主,a young bonze
翻波式,"honbashiki (rippling, undulating)"
自動列車停止装置,ATS : automatic train stop (system)
賀茂波爾神社,Kamohani-jinja Shrine
名護屋,Nagoya
未成木,immature trees
上稚児,upper chigo
仏門,Buddhist priesthood
水口,Mizuguchi
看聞日記,Kanmon Nikki (The Diary of Imperial Prince Fushimi no miya Sadafusa)
池上四郎,Shiro IKENOUE
安芸門徒,Aki-monto
池田侯,Ikeda-ko (daimyo IKEDA)
龍山,Ryuzan
藤原季方,FUJIWARA no Suekata
佐々木愛次郎,Aijiro SASAKI
新国史,Shinkokushi (Neo-National History)
自陣営,own camp
由岐神社,Yuki-Jinja shrine
宋元,Song and Yuan Dynasties of China
塗師,nurishi
早鞆瀬戸,Hayatomo no Seto (channel)
富單那,Futanna
書道家、漆芸家,"calligrapher, lacquer artist"
ロックタウン久御山店,Loc Town Kumiyama
織田家臣,vassals of Oda family
大学サークル,circles of the Universities
譲状,letter of transfer
草野氏,Kusano clan
為尊親王,Imperial Prince Tametaka
平高望,TAIRA no Takamochi
準急（のち急行）「かすが」,"(Semi-) Express ""Kasuga"""
康暦の政変,Koryaku Coup
一国一城,one castle in one feudal domain
船岡山合戦,Funaokayama-no-kassen (battle at Mt. Funaoka)
高辻長豊,Nagatoyo TAKATSUJI
墨染発電所,Sumizome Power Plant
千坂対馬守景親公,Chizaka (Chisaka) Tsushima-no-kami Kagechika-ko
熊野神社前,Kumano-Jinjamae
忠一,Tadakazu
山陽地方,Sanyo region
多禰寺,Tane-ji Temple
正福寺地蔵堂,Jizo-do Hall of the Shofuku-ji Temple
室田,Murota
歴代住持,successive chief priests
二条河原,Nijo-gawara
創業三百年を超える老舗,a long-established store founded more than 300 years ago
夷人,foreign residents (barbarians)
藤原惟規,FUJIWARA no Nobunori
檀林皇后橘嘉智子,Empress Danrin TACHIBANA no Kachiko
関西支社,Kansai branch office
国司,kokushi 
エディンバラ大学,University of Edinburgh
六角氏家臣,retainer of the Rokkaku clan
西光,Saiko
天授庵,Tenju-an Temple
生井神,Ikui-no-kami
厳覚,Genkaku
境外社,outer precincts shrine
吉祥山,Kisshozan
金剛王院,Kongoo-in Temple
真言 (宗) 立川流,Shingon Tachikawa School
善恵房,Zenenbo
箱根小涌園,Hakone Kowakien
貫前神社,Nukisaki-jinja Shrine
孔雀明王,Kujaku Myo-o
宇治番茶,Uji Bancha (coarse tea)
自跋,afterword
藤三郎,Tozaburo
酒胡子,Shukoshi music
Jスルー,J Through Card
水茶屋,Mizujaya 
国際連合教育科学文化機関,"the Ministry of Education, Culture, Sports, Science and Technology"
院内革新勢力,innovative power in Kizokuin (the House of Peers)
飯高氏,Morotakauji
貫之集,Tsurayuki collection
本官還任,honkan-kannin （reappointment to former post)
新日本理化,"New Japan Chemical Co., Ltd."
出口汪,Hiroshi DEGUCHI
野良猫「笠やん」,"a stray cat ""Kasa-yan"""
平盛時,Moritoki TAIRA
中国古典,Chinese classics
竹ベラ,a bamboo spatula
一切衆生,Issai Shujo/all creatures/all life/all sentient beings
遠州掛川藩,Kakegawa Domain in Enshu
駿河守護今川氏,"the Imagawa family, Military Governor of Suruga"
向日町警察署,Mukomachi Police Station
盛子内親王,Imperial Princess Seishi
禁裏の御門,"gate of Kinri (Emperor's permanent residence, palace)"
藤原生子,FUJIWARA no Nariko
弘安10年（1287年）の銘,an inscription of the year 1287
千日回峰行,Sennichi kaihogyo (1000 day circumambulation)
尼将軍,ama shogun 
扇町駅,Ogimachi Station
関東八館,Kanto hachiyakata
九品仏,the nine images of Amida Nyorai (enshrined in Joshin-ji Temple)
執権政治,regency
灯明,devotive light
北九州,Kitakyushu
生駒聖天,Ikoma -Shoten
天皇陛下,his Imperial Majesty
臥す間,fusu-ma (a room for lying)
宣耀殿女御,Senyoden no nyogo
甲賀流,Koga-ryu school
后宮,kisai no miya (empress)
高雄山寺,Takaosan-ji Temple
合同船,Godosen
姞子,Kitsushi
達磨図,Daruma-zu
神足神社,Kotari-jinja Shrine
さんようどう,Sanyodo
市指定文化財,cultural property designated by Kyotango City
八木源之丞,Gennojo YAGI
覆屋,covering roof
丹波物部,Tanba-Mononobe
寛文小袖,"Kanbun kosode, Kanbun style kosode"
西郷隆盛,Takamori SAIGO
南御所,Minamigosho
比良山系,the Hira mountain range
雑華院,Zakke-in Temple
桁行二間,ketayuki-niken (2-ken in length of beam)
やまと言葉,yamato-kotoba (words intrinsically used in Japan)
尾形宗謙,Soken OGATA
折伏教化,"Shakubuku kyoge(break and subdue, missionary work)"
浄音,Joon
昭宣公,Shosenko
八田氏,Hatta clan
湖東,Koto
二の膳,ninozen (the second tray)
久邇宮邦彦王,Prince Kuninomiya Kuniyoshi
下谷黒門町,Shitaya kuromon cho
山門派の祖,the progenitor of the of the Sanmon faction
一条房家,Fusaie ICHIJO
宗和流,Sowa-ryu school
作事方,construction officer
八幡町（現八幡市） (駅),Yawata-cho Station (Yawatashi Station)
船岡山の戦い,the Battle of Funaokayama
大阪外国語学校,Osaka School of Foreign Languages
応胤入道親王,priestly Imperial Prince Oin
塩見頼氏,Yoriuji SHIOMI
神風特攻隊,kamikaze corps/special attack corps /suicide corps
近衛尚嗣,Hisatsugu KONOE
融和政策,political measures for reconciliation
義空,Giku
同志社女子専門学校,Advanced Course of Doshisha Girls' School
カインズホーム 嵐山店,Cainz Home Arashiyama
薩摩藩士,feudal retainer of Satsuma
史跡,historic site
網野町,Amino Cho
聚楽第,Jurakudai
振袖,furisode 
古代行列,ancient costumed procession
小豆坂の戦い,the Battle of Azuki-zaka
ヒョウ,panther
公団住宅,an apartment building constructed by the Housing Corporation
小天狗,Kotengu （small tengu）
美濃吉,Minokichi
枯山水（コセンスイ）,kosensui
源頼家,MINAMOTO no Yoriie
磐座西座,Izanagi no Mikoto and Izanami no Mikoto
駿河国守,Suruga-no-kuni-no-kami (the governor of Suruga Province)
腕珠,wanju
小笠原頼清,Yorikiyo OGASAWARA
南北朝時代 (中国),the period of the Northern and Southern Dynasties (China)
疱瘡,smallpox
葉（よう）,yo
内相,interior minister
至亀岡駅,bound for Kameoka Station
京都全日空ホテルズ,ANA Hotel
プラットホーム形状と配置1面1線のみ,only one-side and one-tracked platform
草津市,Kusatsu City
籾井教業,Norinari MOMI
勧修寺家,the Kajuji family
京阪バス1dayチケット,Keihan Bus 1 Day Ticket
京都市立深草小学校,Kyoto City Fukakusa Elementary School
岐阜,Gifu
国際会館,Kyoto International Conference Center
松風,Matsukaze
祐子（すけこ）,Sukeko
清瀧宮,Seiryu-gu
拝殿,haiden
位人臣,rank of Jinshin retainers
大雄院,Daio-in Temple
